,formatted_address,latitude,longitude,input_string,number_of_results,status,accuracy,google_place_id,type,postcode
59,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
60,"Rose Island, Newport, RI 02840, USA",41.49644929999999,-71.341613,Rose Island,1,OK,,,,
61,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
62,"Waderick Wells Cay, The Bahamas",24.3940635,-76.62827469999999,Wells Cay,1,OK,,,,
63,"Bald Head Island, NC 28461, USA",33.8618418,-77.9944332,"Bald Head Island, Brunswick County",1,OK,,,,
64,"Wilmington River, Georgia, USA",31.9944425,-80.996972,"Wilmington River, Chatham County",1,OK,,,,
65,"Ocean Isle Beach, NC, USA",33.8943393,-78.426672,"Ocean Isle, Brunswick County",1,OK,,,,
66,"Maatsuyker Island, Tasmania, Australia",-43.6522707,146.2769813,Maatsuyker Island ,1,OK,,,,
67,"Lennox Head NSW 2478, Australia",-28.8,153.583333,Lennox Head,1,OK,,,,
68,"Fort Macon State Park, 2303 E Fort Macon Rd, Atlantic Beach, NC 28512, USA",34.6968953,-76.6891223,"Fort Macon State Beach, Carteret County",2,OK,,,,
69,,,,Cook Reef,0,ZERO_RESULTS,,,,
70,"Honokowai Point, Kaanapali, HI 96761, USA",20.9479024,-156.6920594,"Honokowai Point, Maui",1,OK,,,,
71,"14 Ocean St, South Portland, ME 04106, USA",43.641839,-70.2539016,Port South Marina,1,OK,,,,
72,"Ship Bottom, NJ 08008, USA",39.642897,-74.1804159,"Ship Bottom, Ocean County",1,OK,,,,
73,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
74,"O‘ahu, Hawaii, USA",21.4389123,-158.0000565,"Browns, Oahu",1,OK,,,,
75,"Norval beach camp, Yandaran QLD 4673, Australia",-24.6088591,152.1307366,Yandaran Beach,2,OK,,,,
76,"Saint-Leu, Réunion, Réunion",-21.1747552,55.2878651, Saint Leu,1,OK,,,,
77,"North Salmon Creek Beach, 3095 CA-1, Bodega Bay, CA 94923, USA",38.3592396,-123.0682435,"North Salmon Creek Beach, Sonoma County",1,OK,,,,
78,"Av. de Montevideu 88, 4150 Porto, Portugal",41.16005699999999,-8.6855985,Praia de Porto,1,OK,,,,
79,"Boca Grande, FL 33921, USA",26.7490152,-82.2616717,"Off Boca Grande, Lee County",1,OK,,,,
80,"Tomaree Head, Shoal Bay NSW 2315, Australia",-32.7131462,152.1865582,Tomaree,1,OK,,,,
81,"Anaehoomalu Bay, Puako, HI 96738, USA",19.9161242,-155.8932242,"Anaehoomalu Bay, Hawaii",1,OK,,,,
82,"Jacksonville Beach, FL, USA",30.2841224,-81.3961338,"Jacksonville Beach, Duval County",1,OK,,,,
83,"Crescent Beach, FL 32080, USA",29.76886,-81.2536786,"Crescent Beach, St Johns County",1,OK,,,,
84,"Kohala, Hawaii 96743, USA",20.0859161,-155.7171332,"North Koahala, Big Island",1,OK,,,,
85,,,,Kaiwi Channel,0,ZERO_RESULTS,,,,
86,"China, Liaoning Sheng, Dalian Shi, Zhongshan Qu, Binhai Middle Rd, 9号大连老虎滩海洋公园",38.869863,121.677871,"Laohutan Ocean Park Aquarium, Dalian City",2,OK,,,,
87,"Waikoloa Village, HI, USA",19.9372484,-155.7910681,Waikoloa area,1,OK,,,,
88,"Line Reef, 4805, Australia",-19.674144,149.1746224,Line Reef,1,OK,,,,
89,"Hobe Sound, FL 33455, USA",27.059498,-80.1364323,"Hobe Sound, Martin County",1,OK,,,,
90,"Troncones, Guerrero, Mexico",17.7801095,-101.7214254,Troncones,1,OK,,,,
91,,,,Kaiwi Channel,0,ZERO_RESULTS,,,,
92,"Stuart Beach, 825 NE Ocean Blvd, Stuart, FL 34996, USA",27.2143933,-80.17502139999999,"Stuart Beach, Martin County",1,OK,,,,
93,"Cape Kiwanda Dr, Pacific City, OR 97112, USA",45.215795,-123.9672146,"Cape Kiwanda, Tillamook County",1,OK,,,,
94,"Port Elizabeth, South Africa",-33.9608369,25.6022423,30 nm off Port Elizabeth,1,OK,,,,
95,"33 Childe St, Byron Bay NSW 2481, Australia",-28.6345945,153.598962,Belongil Bay,1,OK,,,,
96,"Praia da Cacimba do Padre, State of Pernambuco, 53990-000, Brazil",-3.8498785,-32.4387858,Cacimba do Padre,1,OK,,,,
97,"Groote Eylandt, Anindilyakwa NT 0822, Australia",-13.9700453,136.5933382,Groote Eylandt,1,OK,,,,
98,"Hanalei Bay, Hawaii, USA",22.2090776,-159.5067583,"Hanalei Bay, Kauai",1,OK,,,,
99,"Urunga NSW 2455, Australia",-30.5,153.016667,Urunga area,1,OK,,,,
100,"Mtunzini, South Africa",-28.9596737,31.7500778,Mtunzini,1,OK,,,,
101,"Key Biscayne, FL 33149, USA",25.693713,-80.1628248,Key Biscayne,1,OK,,,,
102,"Rivière de l'Est, Réunion",-21.147353,55.7421398,Sainte-Rose at the mouth of Riviere de l'Est,1,OK,,,,
103,"Oreti Beach 9879, New Zealand",-46.4382495,168.2318206,Oreti Beach,1,OK,,,,
104,"151 Marine Parade, Cottesloe WA 6011, Australia",-31.9890011,115.7525462,North Cottesloe ,1,OK,,,,
105,"4803 Resort Dr, Whitsundays QLD 4803, Australia",-20.3464395,148.9574515,"Catseye Beach, Hamilton Island, Whitsundays",1,OK,,,,
106,"Sandspit Beach, Unnamed Road, Los Osos, CA 93402, USA",35.3084792,-120.8714259,"Sandspit Beach, Montaña de Oro State Park ",1,OK,,,,
107,"Puerto Peñasco, Sonora, Mexico",31.3268218,-113.5311843,Southeast of Puerto Peñasco ,1,OK,,,,
108,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
109,"Matauri Bay, 0478, New Zealand",-35.0364135,173.9148693,Matauri Bay,1,OK,,,,
110,"Ti Point 0985, New Zealand",-36.3171614,174.7900302,Ti Point,1,OK,,,,
111,"Nambucca, NSW, Australia",-30.666463,152.7323884,Nambucca,1,OK,,,,
112,"Harbourside Jetty, Darling Dr, Darling Harbour NSW 2000, Australia",-33.8708202,151.1994884,South Steyne,1,OK,,,,
113,"Juno Beach, FL 33408, USA",26.8797819,-80.0533743,"Juno Beach, Palm Beach County",1,OK,,,,
114,"Nhulunbuy NT 0880, Australia",-12.1825,136.781944,Off Nhulunbuy,1,OK,,,,
115,"Gerroa NSW 2534, Australia",-34.7699,150.813133,"7 Mile Beach, Gerroa",1,OK,,,,
116,"Moffat Beach QLD 4551, Australia",-26.791,153.139,Moffat Beach,1,OK,,,,
117,"Tinley Manor, Headlands, Dolphin Coast, South Africa",-29.45,31.283333,Tinley Manor,1,OK,,,,
118,"Dawesville WA 6211, Australia",-32.6036041,115.6304031,"Pyramids Beach, Mandurah",1,OK,,,,
119,"Compass Cay, The Bahamas",24.2660998,-76.51702879999999,Compass Cay,1,OK,,,,
120,"Shelly Beach, East Ballina NSW 2478, Australia",-28.8632285,153.5943512,"Shelly Beach, Ballina",1,OK,,,,
121,"Cid Harbour, Whitsundays QLD 4802, Australia",-20.25,148.9333333,"Cid Harbor, Whitsundays",1,OK,,,,
122,"North Brother Island, The Bronx, NY 10454, USA",40.8007201,-73.8981368,Brothers' Island,1,OK,,,,
123,"Patrick AFB, FL 32925, USA",28.2394645,-80.60751719999999,"Near Patrick AFB, Brevard County",1,OK,,,,
124,"Augusta-Margaret River, WA, Australia",-34.1622739,115.188916,"Guillotines surf break, Shire of Augusta Margaret River",1,OK,,,,
125,"Ponce Inlet, FL, USA",29.0963729,-80.9369983,"Ponce Inlet, Volusia County",1,OK,,,,
126,"Farallon Islands, San Francisco, CA, USA",37.69891,-123.003361,Farallon Islands,1,OK,,,,
127,"545 Gan Gan Rd, One Mile NSW 2316, Australia",-32.7673021,152.1244595,Samurai Beach,1,OK,,,,
128,"Baylys Beach 0377, New Zealand",-35.9517996,173.7492118,Baylys Beach ,1,OK,,,,
129,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
130,"Three Mile Reef, Western Australia, Australia",-31.77555559999999,115.675,Two Rocks near Three Mile Reef,1,OK,,,,
131,"Bethune Beach, FL 32169, USA",28.9491539,-80.83783000000001,"Bethune Beach, Volusia County",1,OK,,,,
132,"Swain Reefs National Park, 4805, Australia",-21.9813586,152.473207,Swain Reef,1,OK,,,,
133,"Leucadia State Beach (Beacon's), 948 Neptune Ave, Encinitas, CA 92024, USA",33.0651901,-117.3047175,"Beacons Beach, San Diego County",1,OK,,,,
134,"Groote Eylandt, Anindilyakwa NT 0822, Australia",-13.9700453,136.5933382,Groote Eylandt,1,OK,,,,
135,"Humboldt County, CA, USA",40.7450055,-123.8695086,Humboldt County,1,OK,,,,
136,"Treasure Cay, The Bahamas",26.6761623,-77.2850194,Treasure Cay,1,OK,,,,
137,"Jacksonville Beach, FL, USA",30.2841224,-81.3961338,"Jacksonville Beach, Duval County",1,OK,,,,
138,"Cid Harbour, Whitsundays QLD 4802, Australia",-20.25,148.9333333,"Cid Harbor, Whitsundays",1,OK,,,,
139,"Oracabessa, Jamaica",18.4059261,-76.949058,James Bond Beach,1,OK,,,,
140,"Cid Harbour, Whitsundays QLD 4802, Australia",-20.25,148.9333333,"Cid Harbor, Whitsundays",1,OK,,,,
141,"Newcomb Hollow Beach, 1175 Gross Hill Rd, Wellfleet, MA 02667, USA",41.963231,-69.996453,"Newcomb Hollow Beach, Wellfleet, Barnstable County",1,OK,,,,
142,"Ponce Inlet, FL, USA",29.0963729,-80.9369983,"Ponce Inlet, Volusia County",1,OK,,,,
143,"Pounder's Beach, Hawaii 96762, USA",21.6327357,-157.9204125,"Pounders Beach, Oahu",1,OK,,,,
144,"Fort Pierce, FL, USA",27.4467056,-80.3256056,"Fort Pierce, St. Lucie County",1,OK,,,,
145,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
146,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
147,"Huntington Beach, CA, USA",33.6594835,-117.9988026,"Huntington Beach, Orange County",1,OK,,,,
148,"Big Carters Cay, The Bahamas",27.0833333,-78.0,Carter's Cay,2,OK,,,,
149,"Atlantic Beach, NC, USA",34.6990505,-76.7402108,"Atlantic Beach, Carteret  County",1,OK,,,,
150,"66020 Torino di Sangro, Province of Chieti, Italy",42.1852556,14.53967,Torino di Sangro ,1,OK,,,,
151,The Bahamas,26.7918119,-77.3349009,"Coco Bay, Green Turtle Cay",1,OK,,,,
152,"Rhode River, 1, MD, USA",38.8765518,-76.52598909999999,"Rhode River, Chesapeake Bay",1,OK,,,,
153,"Longnook Beach, Truro, MA 02657, USA",42.0209366,-70.03696819999999,"Longnook Beach, Truro, Barnstable County",1,OK,,,,
154,"Crystal Beach, Bolivar Peninsula, TX 77550, USA",29.457177,-94.6396378,"Crystal Beach, Galveston  County",1,OK,,,,
155,"Bald Head Island, NC 28461, USA",33.8618418,-77.9944332,"Bald Head Island, Brunswick County",1,OK,,,,
156,"Bald Head Island, NC 28461, USA",33.8618418,-77.9944332,"Bald Head Island, Brunswick County",1,OK,,,,
157,"Marsa Alam, Red Sea Governorate, Egypt",25.0676256,34.8789697,Marsa Alam,1,OK,,,,
158,"St. Augustine, FL, USA",29.9012437,-81.31243409999999,"St Augustine, St Johns County",1,OK,,,,
159,"Guiyang, Guizhou, China",26.647661,106.630153,Shopping mall aquarium in Guiyang City,1,OK,,,,
160,"Atlantique Beach, Islip, NY, USA",40.6395443,-73.17317059999999,"Atlantique Beach, Fire Island, Suffolk County",1,OK,,,,
161,"Fire Island National Seashore, Sayville, NY 11782, USA",40.6568596,-73.1044422,"Sailors Haven, Fire Island, Suffolk County",1,OK,,,,
162,"Galveston, TX, USA",29.3013479,-94.7976958,Galveston,1,OK,,,,
163,,,,Provencia,0,ZERO_RESULTS,,,,
164,"Trinidad State Beach, California 95570, USA",41.065402,-124.1503472,"Trinidad Beach, Huboldt County",1,OK,,,,
165,"PLAYALINDA Beach, Florida, USA",28.6555177,-80.6318287,"Playalinda Beach, Brevard County",1,OK,,,,
166,"Fernandina Beach, FL 32034, USA",30.6696818,-81.46259189999999,"Fernandina Beach, Nassau County",1,OK,,,,
167,"Fernandina Beach, FL 32034, USA",30.6696818,-81.46259189999999,"Fernandina Beach, Nassau County",1,OK,,,,
168,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
169,"Staniel Cay, The Bahamas",24.1703498,-76.4404011,Staniel Cay,1,OK,,,,
170,"John Pennekamp Coral Reef State Park, 102601 Overseas Hwy, Key Largo, FL 33037, USA",25.1252463,-80.40607609999999,"John Pennekamp Coral Reef State Park, Monroe County",1,OK,,,,
171,"Myrtle Beach, SC, USA",33.6890603,-78.8866943,Myrtle Beach,1,OK,,,,
172,"Oceanside, CA, USA",33.1958696,-117.3794834,"Oceanside, San Diego County",1,OK,,,,
173,"Ohio Bahia Honda Channel Bridge, Overseas Hwy, Big Pine Key, FL 33043, USA",24.6704517,-81.2497183,"Near the Bahia Honda Bridge, Monroe County",2,OK,,,,
174,"St Simons, GA 31522, USA",31.1595905,-81.3885517,"St. Simon Island, Glynn County",1,OK,,,,
175,"Oneʻula Beach Park, 91-295 Papipi Rd, Ewa Beach, HI 96706, USA",21.3056121,-158.0301899,"Habush, Oahu",1,OK,,,,
176,"Arrawarra Headland NSW 2456, Australia",-30.068611,153.195278,Arrawarra Headland,1,OK,,,,
177,"La Ticla, Michoacán, Mexico",18.4543533,-103.5541312,La Ticla,1,OK,,,,
178,"Flat Rock Tent Park, 38 Flat Rock Rd, East Ballina NSW 2478, Australia",-28.8439336,153.6031098,"Flat Rock, Ballina",1,OK,,,,
179,"Av. Bernardo Vieira de Melo, 1204 - Piedade, Jaboatão dos Guararapes - PE, 54400-000, Brazil",-8.1797855,-34.917403,"Piedade Beach, Recife",2,OK,,,,
180,"North Brother Island, The Bronx, NY 10454, USA",40.8007201,-73.8981368,Brothers Island,1,OK,,,,
181,"Light House Point Park, 5000 S Atlantic Ave, Ponce Inlet, FL 32127, USA",29.078526,-80.9218453,"Lighhouse Point Park, Ponce Inlet, Volusia County",1,OK,,,,
182,"Cocoa Beach, FL 32931, USA",28.3200067,-80.6075513,"Cocoa Beach, Brevard  County",1,OK,,,,
183,"Daytona Beach, FL, USA",29.2108147,-81.0228331,"Daytona Beach, Volusia County",1,OK,,,,
184,"5 Florence St, Cairns City QLD 4870, Australia",-16.9184171,145.7738313,Cairns Aquarium,1,OK,,,,
185,"Isle of Palms, SC, USA",32.8194131,-79.7343791,"Isle of Palms,  Charleston County",1,OK,,,,
186,"Hilton Head Island, SC, USA",32.216316,-80.752608,"Hilton Head Island, Beaufort County",1,OK,,,,
187,"Lands End Lookout, 680 Point Lobos Ave, San Francisco, CA 94121, USA",37.77985779999999,-122.5116171,Off Land's End,1,OK,,,,
188,"Dugong Bay, Western Australia, Australia",-16.395,123.8722222,Dugong Bay,1,OK,,,,
189,"Nahoon Beach, East London, 5210, South Africa",-32.9859684,27.9446709,"Nahoon Beach, East London",1,OK,,,,
190,"Sharpes Beach, New South Wales, Australia",-28.8377242,153.6044032,"Sharpes Beach, Ballina",1,OK,,,,
191,"Hat sainoi 74/22 Baan Khao Tao, ตำบล ปากน้ำปราณ อำเภอปราณบุรี ประจวบคีรีขันธ์ 77220, Thailand",12.4513594,99.97895609999999,Sai Noi Beach,2,OK,,,,
192,"Galveston Bay, Texas, USA",29.4719753,-94.7691586,Galveston Bay,1,OK,,,,
193,,,,Manuelita,0,ZERO_RESULTS,,,,
194,"Arey Neck Rd, Vinalhaven, ME 04863, USA",44.0589618,-68.78852330000001,Gearys Beach,1,OK,,,,
195,"Lennox Head NSW 2478, Australia",-28.8,153.583333,Lennox Head,1,OK,,,,
196,"Surfers Point Rd, Prevelly WA 6285, Australia",-33.9767383,114.9859836,"Surfers Point, Prevelly",1,OK,,,,
197,"Cowaramup Bay Rd, Gracetown WA 6284, Australia",-33.8638221,114.9769458,"South Point, Gracetown",1,OK,,,,
198,"Madoogali, Maldives",4.0960081,72.75293909999999,Madoogali,1,OK,,,,
199,"89 Beachyhead Dr, Plettenberg Bay, 6600, South Africa",-34.07614,23.37059,"Robberg Beach, Plettenberg Bay",1,OK,,,,
200,"Koloa, HI 96756, USA",21.874472,-159.436184,"Shipwreck’s Beach, Keoneloa Bay, Kauai",1,OK,,,,
201,"Hat sainoi 74/22 Baan Khao Tao, ตำบล ปากน้ำปราณ อำเภอปราณบุรี ประจวบคีรีขันธ์ 77220, Thailand",12.4513594,99.97895609999999,Sai Noi Beach,2,OK,,,,
202,"Piedade - State of São Paulo, 18170-000, Brazil",-23.7288509,-47.4335977,Piedade,2,OK,,,,
203,"Lefthanders Rd, Gracetown WA 6284, Australia",-33.8752851,114.9861132,"Lefthanders, Margaret River Area",1,OK,,,,
204,"Margaret River WA 6285, Australia",-33.9610465,115.0767388,"Cobblestones, Margaret River Area",1,OK,,,,
205,"Nirvana Beach, Karnataka 581351",14.4922469,74.3630984,Nirvana Beach,1,OK,,,,
206,"Praia de Sauaçui, Alagoas, Brazil",-9.5000479,-35.5745562,"Praia de Sauaçuhy, Maceió",1,OK,,,,
207,"Plage de Magenta, New Caledonia",-22.2657466,166.4729372,"Magenta Beach, Noumea",2,OK,,,,
208,"Bimini, The Bahamas",24.6415325,-79.8506226,Bimini,1,OK,,,,
209,"St Francis Bay, South Africa",-34.1605375,24.824107,St. Francis Bay,1,OK,,,,
210,"Kukio Beach, North Kona, HI 96740, USA",19.8230556,-156.0008333,Kukio Beach,1,OK,,,,
211,"Watermans Bay WA 6020, Australia",-31.8496013,115.7549052,Waterman's Bay,1,OK,,,,
212,"Lorne VIC 3232, Australia",-38.5366556,143.9715484,Lorne,1,OK,,,,
213,"90 Bells Beach Rd, Bells Beach VIC 3228, Australia",-38.3680831,144.2849552,Winkipop,1,OK,,,,
214,"Durban, South Africa",-29.85868039999999,31.0218404,Durban,1,OK,,,,
215,"1532R Anzac Pde., La Perouse NSW 2036, Australia",-33.9915566,151.2383626,"Little Congwong Beach, La Perouse ",1,OK,,,,
216,"Western Port Bay, Victoria, Australia",-38.3563059,145.2480193,Westernport Bay,1,OK,,,,
217,"Surf Beach, Kiama NSW 2533, Australia",-34.6816667,150.8511111,"Surf Beach, Kiama",1,OK,,,,
218,"Mooloolaba Beach, Queensland, Australia",-26.6809437,153.121665,Mooloolaba Beach,1,OK,,,,
219,"State of Espírito Santo, Brazil",-19.1834229,-40.3088626,Espirito Santo,1,OK,,,,
220,"Santa Fé Island, Ecuador",-0.819877,-90.0653341,Santa Fe Island,1,OK,,,,
221,"Indian Ocean Dr, Wannanup WA 6210, Australia",-32.5947053,115.6329821,"Avalon Point, Manurah",1,OK,,,,
222,"Cone Bay, Western Australia, Australia",-16.4683333,123.5352778,Cone Bay,1,OK,,,,
223,"Nouville, Noumea, New Caledonia",-22.2662612,166.4013471,Nouville,1,OK,,,,
224,"Lizard Island National Park, Lizard Island QLD 4871, Australia",-14.6645455,145.4651448,Lizard Island,2,OK,,,,
225,"Martin Islet, New South Wales, Australia",-34.4943401,150.9378248,Martin Islet,1,OK,,,,
226,"Praia da Conceição, State of Pernambuco, 53990-000, Brazil",-3.8418634,-32.4180075,Conceicao Beach,1,OK,,,,
227,"Cowaramup Bay Rd, Gracetown WA 6284, Australia",-33.8638221,114.9769458,"South Point, Gracetown",1,OK,,,,
228,"O‘ahu, Hawaii, USA",21.4389123,-158.0000565,"Hultin's Beach, Oahu",1,OK,,,,
229,"Drakes Estero, California, USA",38.0537357,-122.9409494,"Drakes Estero, Point Reyes, Marin County",1,OK,,,,
230,"Sepang Gold Coast, Bagan Lalang, 43950 Tanjong Sepat, Selangor, Malaysia",2.6038875,101.6881431,Bagan Lalang Beach,1,OK,,,,
231,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
232,,,,Manuelita,0,ZERO_RESULTS,,,,
233,,,,Manuelita,0,ZERO_RESULTS,,,,
234,"Castelverde, Libya",32.75,13.716667, Gars Garabulli,1,OK,,,,
235,"Stillwater Cove, Del Monte Forest, CA 93953, USA",36.563945,-121.9423337,"Stillwater Cove, Monterey County",1,OK,,,,
236,"Floridana Beach, FL 32951, USA",27.9456312,-80.497996,"Floridana Beach, Brevard County",1,OK,,,,
237,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
238,"Avoca Beach NSW 2251, Australia",-33.465,151.435,Avoca Beach,1,OK,,,,
239,"Guardalavaca, Cuba",21.1221074,-75.83868819999999,Guardalavaca Beach,1,OK,,,,
240,"Magnetic Island, Queensland, Australia",-19.1358653,146.8423556,Magnetic Island,1,OK,,,,
241,"James Paterson St, Anna Bay NSW 2316, Australia",-32.783401,152.07601,Birubi Point,2,OK,,,,
